date,old_dem_win_prob,new_dem_win_prob,old_dem_2p_vote_share,new_dem_2p_vote_share
4/23/2022,0.7452,0.6736,0.5225581,0.5159223
4/24/2022,0.746,0.6704,0.5226963,0.5157951
4/25/2022,0.746,0.6772,0.5227124,0.51592
4/26/2022,0.7465,0.6715,0.5227459,0.5157919
4/27/2022,0.7349,0.6722,0.522387,0.5157083
4/28/2022,0.7398,0.6676,0.5223153,0.5156751
4/29/2022,0.7401,0.6688,0.5222794,0.515534
4/30/2022,0.7416,0.6693,0.5223399,0.515646
5/1/2022,0.7414,0.6681,0.5222984,0.5155854
5/2/2022,0.7402,0.6751,0.5220184,0.5155376
5/3/2022,0.7402,0.6729,0.5220808,0.5155961
5/4/2022,0.7552,0.6876,0.5240886,0.5175487
5/5/2022,0.7609,0.6894,0.5240825,0.5177291
5/6/2022,0.7615,0.6965,0.5246778,0.5176973
5/7/2022,0.7644,0.6917,0.5246522,0.5176405
5/8/2022,0.7617,0.6901,0.5246605,0.5178095
5/9/2022,0.764,0.6929,0.5245483,0.5175289
5/10/2022,0.7563,0.6979,0.5242748,0.5176176
5/11/2022,0.7549,0.6876,0.5239801,0.5176076
5/12/2022,0.7632,0.6951,0.5240649,0.5176181
5/13/2022,0.762,0.6937,0.5240864,0.5176394
5/14/2022,0.7593,0.693,0.5244557,0.5176481
5/15/2022,0.7612,0.7027,0.5242731,0.5178861
5/16/2022,0.7634,0.6974,0.5240086,0.5179889
5/17/2022,0.7869,0.6945,0.5248136,0.5175313
5/18/2022,0.7866,0.6945,0.5247274,0.51746
5/19/2022,0.7846,0.6954,0.5245673,0.5173555
5/20/2022,0.7816,0.6867,0.5244638,0.5171786
5/21/2022,0.7752,0.6873,0.5232539,0.5170585
5/22/2022,0.7728,0.6932,0.5232075,0.5170457
5/23/2022,0.7727,0.6885,0.5232285,0.5171837
5/24/2022,0.772,0.6922,0.5232672,0.517296
5/25/2022,0.7725,0.6872,0.5232943,0.5171939
5/26/2022,0.7719,0.6842,0.5231392,0.5168136
5/27/2022,0.7651,0.6915,0.5227337,0.517187
5/28/2022,0.7665,0.6825,0.5228132,0.5169637
5/29/2022,0.7678,0.6856,0.5229969,0.5169879
5/30/2022,0.764,0.6851,0.5226563,0.5170507
5/31/2022,0.7671,0.6877,0.522614,0.5169626
6/1/2022,0.7717,0.6882,0.5229361,0.5173956
6/2/2022,0.7641,0.6861,0.5227784,0.5172998
6/3/2022,0.7641,0.6937,0.522617,0.5172261
6/4/2022,0.7656,0.6844,0.5225826,0.517343
6/5/2022,0.7697,0.6842,0.522722,0.5171478
6/6/2022,0.7677,0.6835,0.5225028,0.5169063
6/7/2022,0.7542,0.6863,0.5219491,0.5169683
6/8/2022,0.748,0.6807,0.5213661,0.5165329
6/9/2022,0.7529,0.6898,0.5214007,0.5167861
6/10/2022,0.7542,0.6828,0.5213214,0.5164542
6/11/2022,0.752,0.6811,0.5211258,0.5161783
6/12/2022,0.7554,0.6832,0.5214376,0.5164323
6/13/2022,0.7572,0.6829,0.5214678,0.5162137
6/14/2022,0.7527,0.6808,0.5208825,0.5164364
6/15/2022,0.7509,0.6799,0.5208845,0.5161017
6/16/2022,0.7531,0.6737,0.5209699,0.5161532
6/17/2022,0.7469,0.6798,0.5208675,0.516354
6/18/2022,0.751,0.6829,0.5208583,0.5158927
6/19/2022,0.7475,0.6813,0.5208095,0.5159777
6/20/2022,0.7461,0.6743,0.5207132,0.5159409
6/21/2022,0.7483,0.6798,0.5207453,0.5160704
6/22/2022,0.7543,0.6828,0.5209677,0.5160777
6/23/2022,0.7492,0.6742,0.520429,0.5157847
6/24/2022,0.7431,0.6723,0.5204132,0.5156435
6/25/2022,0.743,0.6715,0.5205079,0.515746
6/26/2022,0.7465,0.6894,0.5206495,0.5161943
6/27/2022,0.7426,0.6766,0.5205983,0.5161725
6/28/2022,0.7629,0.6732,0.5211674,0.5159976
6/29/2022,0.7885,0.7085,0.5236529,0.5186653
6/30/2022,0.7873,0.6996,0.5235081,0.5185433
7/1/2022,0.7828,0.7055,0.5232429,0.5185426
7/2/2022,0.7794,0.6969,0.5234697,0.5182632
7/3/2022,0.7874,0.7037,0.5234789,0.5184989
7/4/2022,0.7879,0.7028,0.523689,0.5186694
7/5/2022,0.7865,0.7071,0.5236214,0.518558
7/6/2022,0.7904,0.7099,0.5234886,0.5185105
7/7/2022,0.7874,0.7076,0.52337,0.5184593
7/8/2022,0.7836,0.7018,0.5235263,0.5184709
7/9/2022,0.7856,0.7044,0.5234095,0.5184617
7/10/2022,0.784,0.7078,0.5233648,0.5187746
7/11/2022,0.7718,0.7046,0.5220541,0.5186587
7/12/2022,0.772,0.7078,0.5221032,0.518853
7/13/2022,0.772,0.7057,0.5221452,0.5187363
7/14/2022,0.767,0.7099,0.5219569,0.5185972
7/15/2022,0.7707,0.6962,0.5218698,0.5183509
7/16/2022,0.7708,0.705,0.5218942,0.518618
7/17/2022,0.8148,0.7591,0.5254205,0.5237236
7/18/2022,0.8112,0.758,0.5254544,0.5234938
7/19/2022,0.8171,0.755,0.5253532,0.5234556
7/20/2022,0.8148,0.7601,0.5254144,0.5234992
7/21/2022,0.8316,0.7565,0.5274408,0.5235782
7/22/2022,0.8287,0.7586,0.5272237,0.5236322
7/23/2022,0.8279,0.7586,0.5269161,0.5234968
7/24/2022,0.8356,0.7523,0.5272736,0.5235569
7/25/2022,0.8296,0.7542,0.527278,0.5237646
7/26/2022,0.8328,0.7585,0.5274657,0.5235745
7/27/2022,0.8343,0.7614,0.5274975,0.523955
7/28/2022,0.8312,0.7607,0.5273774,0.5239558
7/29/2022,0.8306,0.7543,0.5273989,0.5238673
7/30/2022,0.8342,0.757,0.5273779,0.5240595
7/31/2022,0.8329,0.7559,0.5274133,0.5238638
8/1/2022,0.8339,0.7605,0.5274024,0.523956
8/2/2022,0.8379,0.7612,0.5276702,0.5242425
8/3/2022,0.8258,0.7673,0.5269549,0.523905
8/4/2022,0.8311,0.7766,0.5272616,0.525596
8/5/2022,0.8292,0.7952,0.5268877,0.5269282
8/6/2022,0.8327,0.7963,0.5272029,0.5267774
8/7/2022,0.8197,0.7934,0.5268134,0.5268737
8/8/2022,0.8299,0.7971,0.5273957,0.5269753
8/9/2022,0.8586,0.7966,0.5309877,0.5273553
8/10/2022,0.8651,0.8076,0.5318507,0.5282239
8/11/2022,0.866,0.8056,0.5316675,0.5283576
8/12/2022,0.8638,0.8071,0.5319088,0.528136
8/13/2022,0.8659,0.8076,0.5319105,0.5283068
8/14/2022,0.8656,0.8101,0.5321471,0.5283662
8/15/2022,0.8729,0.8069,0.532253,0.5283784
8/16/2022,0.8733,0.8108,0.5325305,0.5283868
8/17/2022,0.8755,0.8162,0.5334386,0.528629
8/18/2022,0.8755,0.7957,0.5337152,0.5271087
8/19/2022,0.8758,0.8177,0.533647,0.5284503
8/20/2022,0.8735,0.8187,0.5335498,0.5280861
8/21/2022,0.8747,0.8215,0.5337012,0.5284051
8/22/2022,0.88,0.8192,0.5342712,0.5287708
8/23/2022,0.8736,0.8197,0.5338654,0.5288291
8/24/2022,0.896,0.85,0.5359385,0.5315911
8/25/2022,0.8922,0.8424,0.5362052,0.5311211
8/26/2022,0.9012,0.845,0.5365413,0.5314578
8/27/2022,0.8991,0.8464,0.53642,0.531638
8/28/2022,0.8813,0.8502,0.5343914,0.5317077
8/29/2022,0.8796,0.8451,0.5343231,0.532271
8/30/2022,0.8848,0.8591,0.5347088,0.5326271
8/31/2022,0.8844,0.8584,0.5348074,0.5332344
9/1/2022,0.8872,0.8627,0.5351468,0.5333511
9/2/2022,0.8803,0.8639,0.5348612,0.5332605
9/3/2022,0.8859,0.8638,0.5348814,0.5334
9/4/2022,0.8831,0.8585,0.5349198,0.5331159
9/5/2022,0.8849,0.8561,0.5347801,0.533474
9/6/2022,0.885,0.857,0.5350823,0.5331154
9/7/2022,0.8815,0.8647,0.5352057,0.5336289
9/8/2022,0.8859,0.8596,0.5357629,0.5332656
9/9/2022,0.8853,0.8377,0.5346401,0.530522
9/10/2022,0.8541,0.8402,0.5308116,0.5307894
9/11/2022,0.8543,0.8339,0.5307778,0.5310386
9/12/2022,0.8479,0.8463,0.5307729,0.5309884
9/13/2022,0.8564,0.8794,0.5311454,0.5361585
9/14/2022,0.8972,0.8834,0.5367331,0.5367332
9/15/2022,0.9016,0.8804,0.5375021,0.5364796
9/16/2022,0.9275,0.8766,0.5428873,0.5364647
9/17/2022,0.926,0.8772,0.5433041,0.5364573
9/18/2022,0.9055,0.8721,0.5387374,0.5349486
9/19/2022,0.9071,0.8759,0.5386115,0.5356851
9/20/2022,0.9082,0.8758,0.5388755,0.5355793
9/21/2022,0.9165,0.8865,0.5417708,0.5384427
9/22/2022,0.9256,0.8528,0.5415905,0.5328372
9/23/2022,0.9001,0.8568,0.5380084,0.5332079
9/24/2022,0.904,0.8562,0.5381425,0.5331518
9/25/2022,0.9019,0.8606,0.5382516,0.5333202
9/26/2022,0.9015,0.8594,0.5378332,0.5336097
9/27/2022,0.9017,0.8479,0.5378598,0.5323213
9/28/2022,0.9119,0.8702,0.5397904,0.5343961
9/29/2022,0.9129,0.8712,0.5399125,0.5347464
9/30/2022,0.9194,0.8644,0.5400721,0.5338374
10/1/2022,0.9111,0.8714,0.5391407,0.5339713
10/2/2022,0.9114,0.8746,0.5390116,0.5341062
10/3/2022,0.9115,0.8734,0.5389406,0.5339772
10/4/2022,0.9208,0.8759,0.5391701,0.5338714
10/5/2022,0.9017,0.8442,0.5357794,0.5291949
10/6/2022,0.9009,0.8416,0.5356033,0.5285831
10/7/2022,0.9116,0.8429,0.5353492,0.5287221
10/8/2022,0.9072,0.8464,0.535601,0.5286505
10/9/2022,0.9273,0.848,0.5391051,0.5284576
10/10/2022,0.9324,0.8616,0.5390878,0.5291376
10/11/2022,0.9291,0.9029,0.5390917,0.5355227
10/12/2022,0.9313,0.9067,0.5390885,0.5353058
10/13/2022,0.9262,0.9036,0.5369989,0.5347676
10/14/2022,0.9266,0.9081,0.5367621,0.5344417
10/15/2022,0.9245,0.9098,0.5368693,0.5346768
10/16/2022,0.9246,0.9044,0.5368503,0.5345806
10/17/2022,,0.9186,,0.5350831
10/18/2022,,0.909,,0.5335157
10/19/2022,,0.8987,,0.5316243
10/20/2022,,0.9037,,0.5318882
10/21/2022,,0.8805,,0.529123
10/22/2022,,0.8758,,0.527316
10/23/2022,,0.8757,,0.5273917
10/24/2022,,0.8661,,0.5261129
10/25/2022,,0.8668,,0.525994
10/26/2022,,0.821,,0.5214968
10/27/2022,,0.8116,,0.5201071
10/28/2022,,0.8143,,0.5202197
10/29/2022,,0.806,,0.5200951
10/30/2022,,0.8091,,0.5200733
