date,new_dem_control_prob,old_dem_control_prob,new_dem_2p_vote_share,old_dem_2p_vote_share
4/23/2022,0.0487,0.1815,0.484384065,0.492409375
4/24/2022,0.0496,0.1794,0.48452438,0.492389389
4/25/2022,0.049,0.1851,0.484367726,0.492570624
4/26/2022,0.0517,0.1827,0.484280776,0.492535341
4/27/2022,0.0507,0.1682,0.484164888,0.492077986
4/28/2022,0.0445,0.1715,0.483957289,0.4919973
4/29/2022,0.046,0.17,0.483797846,0.491816242
4/30/2022,0.0466,0.1753,0.484144656,0.491851504
5/1/2022,0.0434,0.1735,0.483954862,0.492006875
5/2/2022,0.0455,0.1677,0.48394831,0.49155737
5/3/2022,0.0477,0.1692,0.484040093,0.491589085
5/4/2022,0.0621,0.2162,0.486590449,0.494550231
5/5/2022,0.0635,0.2083,0.486832605,0.494428986
5/6/2022,0.0634,0.2285,0.48671926,0.495145645
5/7/2022,0.0588,0.2225,0.486772639,0.495170748
5/8/2022,0.0669,0.2339,0.486863563,0.495323101
5/9/2022,0.0601,0.2206,0.486574388,0.494957481
5/10/2022,0.0614,0.2214,0.486622292,0.494951538
5/11/2022,0.0614,0.2135,0.486659238,0.494489211
5/12/2022,0.0638,0.2073,0.486731623,0.494405683
5/13/2022,0.0588,0.2095,0.486685873,0.494369951
5/14/2022,0.0612,0.2207,0.486656378,0.494906525
5/15/2022,0.0665,0.2202,0.486943118,0.494777004
5/16/2022,0.0682,0.2105,0.486852451,0.494334523
5/17/2022,0.0605,0.2086,0.486644967,0.494214873
5/18/2022,0.0568,0.1976,0.486394754,0.493801992
5/19/2022,0.0578,0.1879,0.486433822,0.493696592
5/20/2022,0.0548,0.1901,0.486124136,0.493574908
5/21/2022,0.0534,0.1548,0.486051306,0.491875092
5/22/2022,0.0551,0.1508,0.486067142,0.49169411
5/23/2022,0.0496,0.1587,0.486115659,0.491872967
5/24/2022,0.0526,0.1558,0.486221669,0.491950773
5/25/2022,0.0534,0.1602,0.486095018,0.491893696
5/26/2022,0.0517,0.1567,0.485627931,0.492012754
5/27/2022,0.0549,0.1475,0.486057552,0.491231262
5/28/2022,0.0516,0.1505,0.485852854,0.491339222
5/29/2022,0.0507,0.1464,0.486038308,0.491418334
5/30/2022,0.0532,0.1508,0.485962518,0.491319821
5/31/2022,0.0551,0.1483,0.486022455,0.49115772
6/1/2022,0.0583,0.148,0.486310904,0.491379743
6/2/2022,0.0544,0.1463,0.486279476,0.491334564
6/3/2022,0.0549,0.1486,0.486175554,0.490887955
6/4/2022,0.0577,0.145,0.486170805,0.491056733
6/5/2022,0.0552,0.1459,0.486091215,0.49115485
6/6/2022,0.0562,0.1429,0.485801148,0.490729876
6/7/2022,0.0509,0.1364,0.48579508,0.49011398
6/8/2022,0.042,0.1176,0.485124847,0.489241366
6/9/2022,0.0483,0.1142,0.485451982,0.489313496
6/10/2022,0.044,0.121,0.484935809,0.489322452
6/11/2022,0.0392,0.1158,0.484830132,0.48899969
6/12/2022,0.045,0.118,0.485089766,0.489353545
6/13/2022,0.0435,0.1174,0.484871344,0.489376481
6/14/2022,0.0436,0.1138,0.485031728,0.488834868
6/15/2022,0.0406,0.0979,0.484639959,0.488534339
6/16/2022,0.0408,0.1007,0.484657728,0.488735281
6/17/2022,0.0426,0.1046,0.484763375,0.488650376
6/18/2022,0.0388,0.0999,0.48468943,0.488494407
6/19/2022,0.0338,0.0992,0.484541229,0.48848393
6/20/2022,0.0392,0.0993,0.484498719,0.488410311
6/21/2022,0.0383,0.1015,0.484647094,0.48846733
6/22/2022,0.0396,0.1004,0.484605659,0.488567838
6/23/2022,0.0349,0.097,0.484140622,0.488063152
6/24/2022,0.0381,0.0941,0.484125908,0.487988537
6/25/2022,0.0366,0.0952,0.484451286,0.488163309
6/26/2022,0.039,0.0974,0.484693269,0.488417155
6/27/2022,0.0365,0.1008,0.484715872,0.488340244
6/28/2022,0.0376,0.0944,0.484413963,0.487998758
6/29/2022,0.0641,0.1439,0.488101094,0.491711148
6/30/2022,0.0611,0.1435,0.487749511,0.491543344
7/1/2022,0.0612,0.1386,0.487832952,0.491322627
7/2/2022,0.0613,0.1485,0.487679865,0.491628259
7/3/2022,0.0613,0.1441,0.487948509,0.491658139
7/4/2022,0.0624,0.1475,0.488164108,0.491899407
7/5/2022,0.0624,0.1466,0.488085997,0.491614049
7/6/2022,0.0586,0.1432,0.4878484,0.491596939
7/7/2022,0.0599,0.1381,0.487731416,0.491378826
7/8/2022,0.0594,0.1471,0.487739411,0.491575239
7/9/2022,0.0639,0.1382,0.487799063,0.491392577
7/10/2022,0.0596,0.1415,0.488005393,0.491437197
7/11/2022,0.0633,0.1184,0.488156885,0.489484157
7/12/2022,0.0644,0.1153,0.488221819,0.489629197
7/13/2022,0.0638,0.112,0.488069298,0.489546067
7/14/2022,0.0604,0.1079,0.487919602,0.489391079
7/15/2022,0.0614,0.1056,0.487716429,0.489316004
7/16/2022,0.0593,0.1085,0.488168988,0.489536356
7/17/2022,0.0705,0.1091,0.488164246,0.489426313
7/18/2022,0.0671,0.1112,0.487846892,0.489436627
7/19/2022,0.0637,0.1086,0.487815478,0.489201967
7/20/2022,0.0637,0.1094,0.4879473,0.48918506
7/21/2022,0.0684,0.1146,0.487982085,0.489650085
7/22/2022,0.0681,0.1128,0.488013802,0.489376185
7/23/2022,0.0633,0.1017,0.487805168,0.489235073
7/24/2022,0.0647,0.1098,0.487907769,0.489514918
7/25/2022,0.0703,0.1063,0.488194723,0.48934774
7/26/2022,0.0675,0.1128,0.488018584,0.489555766
7/27/2022,0.0713,0.1159,0.488502734,0.48962418
7/28/2022,0.072,0.1078,0.488415314,0.489477695
7/29/2022,0.0677,0.1061,0.488268521,0.489470564
7/30/2022,0.0723,0.1069,0.488550144,0.489229391
7/31/2022,0.0676,0.1038,0.488337189,0.489228842
8/1/2022,0.075,0.1092,0.488460041,0.489264176
8/2/2022,0.0756,0.1125,0.488802717,0.489595884
8/3/2022,0.0695,0.1064,0.4884974,0.489341066
8/4/2022,0.0726,0.113,0.488437134,0.489687761
8/5/2022,0.0753,0.1111,0.488497151,0.48938375
8/6/2022,0.0712,0.1175,0.488448997,0.48951133
8/7/2022,0.0746,0.1094,0.488657337,0.489282891
8/8/2022,0.0784,0.1083,0.488673016,0.489501002
8/9/2022,0.0767,0.1155,0.489065955,0.489731115
8/10/2022,0.0917,0.1338,0.490418255,0.491179002
8/11/2022,0.0919,0.1306,0.490609011,0.491173693
8/12/2022,0.0875,0.1326,0.490468442,0.491223648
8/13/2022,0.0862,0.1286,0.490537413,0.491298922
8/14/2022,0.0832,0.1286,0.490574966,0.49140037
8/15/2022,0.0946,0.13,0.490688487,0.491321257
8/16/2022,0.0872,0.135,0.49058086,0.491791121
8/17/2022,0.0919,0.1406,0.490813235,0.491940772
8/18/2022,0.0926,0.1389,0.49074845,0.491979972
8/19/2022,0.0891,0.1379,0.490754298,0.49193184
8/20/2022,0.0911,0.1273,0.490656488,0.491760482
8/21/2022,0.0924,0.1307,0.490730006,0.491748434
8/22/2022,0.0912,0.1438,0.491002475,0.492242954
8/23/2022,0.0951,0.1355,0.49103964,0.492005491
8/24/2022,0.1525,0.2207,0.495914845,0.497120836
8/25/2022,0.1533,0.2268,0.496002899,0.497196323
8/26/2022,0.159,0.2256,0.495947631,0.497350977
8/27/2022,0.1638,0.2295,0.496287925,0.497538383
8/28/2022,0.1608,0.2323,0.496301717,0.497578032
8/29/2022,0.1683,0.2434,0.496566463,0.497828708
8/30/2022,0.1675,0.2506,0.496518855,0.498052738
8/31/2022,0.1747,0.2422,0.496543417,0.497954787
9/1/2022,0.1769,0.2452,0.496712241,0.498148337
9/2/2022,0.1709,0.2522,0.496621424,0.498112145
9/3/2022,0.1765,0.2476,0.496643902,0.498050416
9/4/2022,0.1662,0.2478,0.496432504,0.498109459
9/5/2022,0.1741,0.2494,0.496699914,0.498067386
9/6/2022,0.1713,0.251,0.496576591,0.498152171
9/7/2022,0.1711,0.2569,0.496753505,0.49835545
9/8/2022,0.166,0.261,0.496676936,0.498496286
9/9/2022,0.1706,0.2528,0.496654002,0.498630305
9/10/2022,0.1779,0.2552,0.496878235,0.498576015
9/11/2022,0.1762,0.2631,0.497095423,0.498673849
9/12/2022,0.1819,0.2496,0.496907849,0.498411492
9/13/2022,0.1782,0.2571,0.497091111,0.49876376
9/14/2022,0.1817,0.2612,0.497146137,0.498844446
9/15/2022,0.1933,0.2759,0.497151024,0.499219114
9/16/2022,0.1847,0.3098,0.497038136,0.500347329
9/17/2022,0.1932,0.32,0.496971331,0.500437715
9/18/2022,0.1881,0.3142,0.497132072,0.500298132
9/19/2022,0.2027,0.3216,0.497651926,0.500543588
9/20/2022,0.2123,0.3464,0.497488561,0.500748082
9/21/2022,0.2104,0.3333,0.497626071,0.500480752
9/22/2022,0.206,0.3339,0.497453611,0.50056958
9/23/2022,0.215,0.3305,0.497466612,0.500820482
9/24/2022,0.2202,0.3277,0.49742456,0.500713205
9/25/2022,0.2203,0.3346,0.497609943,0.500775416
9/26/2022,0.2201,0.321,0.497616102,0.500718409
9/27/2022,0.2231,0.3298,0.49764485,0.500950841
9/28/2022,0.2304,0.3502,0.497735563,0.50105972
9/29/2022,0.2359,0.3471,0.497694236,0.500959144
9/30/2022,0.2366,0.3508,0.497751194,0.501001445
10/1/2022,0.2353,0.3468,0.49790837,0.501000646
10/2/2022,0.2345,0.3531,0.497908397,0.501077782
10/3/2022,0.2338,0.3357,0.497899085,0.500847457
10/4/2022,0.2279,0.3392,0.497757536,0.500838066
10/5/2022,0.225,0.3413,0.497894757,0.501152958
10/6/2022,0.2312,0.3428,0.497969659,0.501201803
10/7/2022,0.2302,0.3411,0.497958741,0.501241452
10/8/2022,0.2328,0.3343,0.497903731,0.500860317
10/9/2022,0.2355,0.3495,0.49801136,0.501311383
10/10/2022,0.2354,0.3482,0.498343502,0.50134319
10/11/2022,0.2343,0.3491,0.498319432,0.501506524
10/12/2022,0.2328,0.3508,0.498237165,0.501399848
10/13/2022,0.2259,0.3517,0.498203012,0.501431965
10/14/2022,0.2316,0.3454,0.498223502,0.501431781
10/15/2022,0.2233,0.3479,0.49800035,0.501538457
10/16/2022,0.2296,0.3504,0.498138995,0.501632298
10/17/2022,0.2329,,0.497660473,
10/18/2022,0.2307,,0.497809492,
10/19/2022,0.2184,,0.497484674,
10/20/2022,0.222,,0.497543218,
10/21/2022,0.2221,,0.497371713,
10/22/2022,0.2218,,0.497400345,
10/23/2022,0.2295,,0.497397526,
10/24/2022,0.2367,,0.497608674,
10/25/2022,0.228,,0.497512804,
10/26/2022,0.2349,,0.49738001,
10/27/2022,0.2347,,0.49731462,
10/28/2022,0.2484,,0.497482296,
10/29/2022,0.2462,,0.497409362,
10/30/2022,0.2566,,0.497665101,
