date,new_dem_control_prob,old_control_prob,new_dem_seats,avg_seats
4/23/2022,0.3233,0.4428,48.727,49.2524
4/24/2022,0.3251,0.4418,48.7317,49.2601
4/25/2022,0.3284,0.447,48.745,49.2732
4/26/2022,0.3238,0.4432,48.7242,49.2717
4/27/2022,0.3229,0.4403,48.7168,49.2372
4/28/2022,0.3153,0.4381,48.7002,49.2212
4/29/2022,0.3147,0.4389,48.7021,49.2327
4/30/2022,0.3209,0.4402,48.7099,49.23
5/1/2022,0.323,0.4421,48.6999,49.2494
5/2/2022,0.3261,0.4353,48.6997,49.2209
5/3/2022,0.3275,0.4379,48.7189,49.2113
5/4/2022,0.3515,0.4723,48.8586,49.3987
5/5/2022,0.3514,0.4731,48.8694,49.396
5/6/2022,0.3541,0.4797,48.8733,49.4265
5/7/2022,0.3506,0.4809,48.858,49.439
5/8/2022,0.359,0.484,48.8795,49.4336
5/9/2022,0.3519,0.4801,48.8567,49.426
5/10/2022,0.3508,0.478,48.8623,49.4241
5/11/2022,0.3546,0.4747,48.8709,49.3964
5/12/2022,0.3497,0.4749,48.8741,49.39
5/13/2022,0.3477,0.472,48.8586,49.4023
5/14/2022,0.3506,0.4722,48.8595,49.4025
5/15/2022,0.3616,0.4797,48.9066,49.3988
5/16/2022,0.3625,0.4639,48.8835,49.3602
5/17/2022,0.3578,0.4767,48.8815,49.4034
5/18/2022,0.3463,0.4662,48.8551,49.365
5/19/2022,0.352,0.4626,48.8655,49.3623
5/20/2022,0.3415,0.4595,48.8268,49.3429
5/21/2022,0.3464,0.4335,48.8284,49.2442
5/22/2022,0.3474,0.4409,48.8447,49.237
5/23/2022,0.3427,0.4307,48.8314,49.242
5/24/2022,0.3514,0.4465,48.8525,49.2481
5/25/2022,0.3476,0.4406,48.8409,49.2497
5/26/2022,0.3367,0.4391,48.811,49.2416
5/27/2022,0.3494,0.429,48.8245,49.2014
5/28/2022,0.3396,0.4481,48.8169,49.2522
5/29/2022,0.3458,0.4451,48.85,49.2634
5/30/2022,0.3471,0.4432,48.8366,49.2509
5/31/2022,0.3416,0.4486,48.8389,49.2616
6/1/2022,0.3452,0.4456,48.8377,49.2772
6/2/2022,0.3514,0.4463,48.8403,49.2495
6/3/2022,0.3483,0.4463,48.8288,49.2469
6/4/2022,0.3468,0.4394,48.8363,49.247
6/5/2022,0.3475,0.4461,48.8479,49.2766
6/6/2022,0.3436,0.4364,48.8279,49.2283
6/7/2022,0.3405,0.4284,48.8126,49.1818
6/8/2022,0.3343,0.424,48.7864,49.1371
6/9/2022,0.3357,0.4178,48.7975,49.1437
6/10/2022,0.3328,0.4211,48.7748,49.1495
6/11/2022,0.33,0.4196,48.7669,49.12
6/12/2022,0.3342,0.4271,48.7723,49.1619
6/13/2022,0.334,0.4261,48.7702,49.1646
6/14/2022,0.3423,0.4264,48.7976,49.1601
6/15/2022,0.3322,0.4142,48.7765,49.1295
6/16/2022,0.3323,0.4195,48.7749,49.1453
6/17/2022,0.341,0.4189,48.7863,49.1274
6/18/2022,0.338,0.4104,48.796,49.1321
6/19/2022,0.3383,0.4201,48.7859,49.1312
6/20/2022,0.3304,0.4274,48.7598,49.1671
6/21/2022,0.3341,0.4225,48.7829,49.1418
6/22/2022,0.3371,0.4255,48.7758,49.1619
6/23/2022,0.3265,0.4156,48.7526,49.1057
6/24/2022,0.3309,0.4107,48.766,49.0944
6/25/2022,0.3423,0.4093,48.793,49.109
6/26/2022,0.3411,0.4189,48.8111,49.1406
6/27/2022,0.3408,0.4191,48.8146,49.1333
6/28/2022,0.3375,0.4386,48.8018,49.1973
6/29/2022,0.3911,0.4865,49.0451,49.4174
6/30/2022,0.3819,0.4827,49.028,49.409
7/1/2022,0.3975,0.4775,49.0558,49.3932
7/2/2022,0.3876,0.4827,49.0204,49.4153
7/3/2022,0.4018,0.4857,49.0654,49.4181
7/4/2022,0.3954,0.4943,49.0567,49.4589
7/5/2022,0.4032,0.4851,49.0718,49.4367
7/6/2022,0.3944,0.4906,49.0523,49.4389
7/7/2022,0.3902,0.4791,49.0514,49.4087
7/8/2022,0.3852,0.484,49.0302,49.4127
7/9/2022,0.3897,0.4804,49.0394,49.3964
7/10/2022,0.395,0.4768,49.0553,49.3827
7/11/2022,0.4027,0.4572,49.0713,49.3148
7/12/2022,0.3971,0.4657,49.0682,49.3304
7/13/2022,0.4048,0.4617,49.0813,49.33
7/14/2022,0.4021,0.4635,49.0979,49.3306
7/15/2022,0.4034,0.462,49.0875,49.3062
7/16/2022,0.4066,0.4653,49.1069,49.3327
7/17/2022,0.4424,0.4721,49.267,49.3604
7/18/2022,0.4337,0.4742,49.2303,49.3833
7/19/2022,0.4439,0.4704,49.2548,49.3662
7/20/2022,0.4442,0.496,49.276,49.4596
7/21/2022,0.4422,0.5293,49.268,49.572
7/22/2022,0.4417,0.5287,49.2616,49.5713
7/23/2022,0.4352,0.5257,49.2512,49.568
7/24/2022,0.4372,0.5237,49.2468,49.5838
7/25/2022,0.4456,0.5534,49.2727,49.6937
7/26/2022,0.4446,0.5555,49.2716,49.706
7/27/2022,0.4747,0.5722,49.3978,49.7691
7/28/2022,0.478,0.5669,49.4241,49.7684
7/29/2022,0.5132,0.5712,49.5559,49.7807
7/30/2022,0.5241,0.5761,49.6313,49.7921
7/31/2022,0.5288,0.5791,49.594,49.7968
8/1/2022,0.5349,0.5841,49.6159,49.8451
8/2/2022,0.54,0.5938,49.6499,49.9007
8/3/2022,0.5316,0.5926,49.6259,49.8853
8/4/2022,0.5365,0.612,49.6425,49.9838
8/5/2022,0.5408,0.5957,49.6749,49.9413
8/6/2022,0.5402,0.6089,49.6607,49.9978
8/7/2022,0.54,0.6097,49.6558,50.0064
8/8/2022,0.5491,0.6098,49.6925,50.0181
8/9/2022,0.561,0.6231,49.7559,50.0915
8/10/2022,0.5917,0.6386,49.9041,50.1457
8/11/2022,0.5883,0.6495,49.8881,50.2118
8/12/2022,0.5852,0.6611,49.9079,50.2306
8/13/2022,0.5908,0.6607,49.912,50.2905
8/14/2022,0.5868,0.6645,49.8925,50.3096
8/15/2022,0.5899,0.6719,49.8992,50.2914
8/16/2022,0.5827,0.6763,49.8935,50.4183
8/17/2022,0.5996,0.686,49.9725,50.4911
8/18/2022,0.6118,0.7029,50.0395,50.5296
8/19/2022,0.6202,0.6815,50.1074,50.4523
8/20/2022,0.6341,0.6839,50.138,50.4504
8/21/2022,0.635,0.6857,50.1677,50.4719
8/22/2022,0.6486,0.6965,50.2262,50.5346
8/23/2022,0.6621,0.6957,50.2949,50.5328
8/24/2022,0.7141,0.7567,50.5556,50.8247
8/25/2022,0.7136,0.755,50.5311,50.8116
8/26/2022,0.7143,0.7597,50.5715,50.8691
8/27/2022,0.7258,0.7618,50.617,50.9028
8/28/2022,0.7368,0.7606,50.6321,50.8938
8/29/2022,0.729,0.765,50.6345,50.9091
8/30/2022,0.747,0.762,50.6869,50.9016
8/31/2022,0.7401,0.7676,50.6817,50.9711
9/1/2022,0.7431,0.7661,50.7113,50.9802
9/2/2022,0.7415,0.7669,50.7429,50.9543
9/3/2022,0.7414,0.7714,50.7535,50.9609
9/4/2022,0.7443,0.7713,50.7467,50.9613
9/5/2022,0.7461,0.7683,50.7373,50.98
9/6/2022,0.7366,0.777,50.7274,50.9847
9/7/2022,0.7424,0.7757,50.7322,50.9951
9/8/2022,0.743,0.7922,50.7694,51.1214
9/9/2022,0.7281,0.7727,50.6912,51.0164
9/10/2022,0.7362,0.7663,50.6948,50.9536
9/11/2022,0.7327,0.7588,50.7279,50.9549
9/12/2022,0.7397,0.7626,50.7236,50.9436
9/13/2022,0.7671,0.7697,50.8532,50.9855
9/14/2022,0.782,0.8168,50.9266,51.2026
9/15/2022,0.7844,0.8215,51.0189,51.2585
9/16/2022,0.7851,0.8265,50.9841,51.253
9/17/2022,0.7991,0.8268,51.122,51.2432
9/18/2022,0.7974,0.8217,51.0949,51.2072
9/19/2022,0.8071,0.8229,51.1784,51.2364
9/20/2022,0.7968,0.8225,51.1033,51.2861
9/21/2022,0.8024,0.8314,51.0792,51.3197
9/22/2022,0.7722,0.8323,50.9611,51.2973
9/23/2022,0.7825,0.8109,51.0219,51.2002
9/24/2022,0.7937,0.8123,51.0673,51.2027
9/25/2022,0.7907,0.8133,51.086,51.215
9/26/2022,0.7763,0.8058,51.0378,51.1786
9/27/2022,0.7859,0.8084,51.0335,51.2122
9/28/2022,0.7744,0.812,50.9605,51.2163
9/29/2022,0.7725,0.8069,50.9376,51.2142
9/30/2022,0.7555,0.814,50.881,51.2355
10/1/2022,0.7689,0.8052,50.9324,51.1891
10/2/2022,0.7722,0.8045,50.9574,51.1911
10/3/2022,0.7526,0.8029,50.8626,51.1629
10/4/2022,0.7406,0.8022,50.7798,51.1703
10/5/2022,0.7508,0.8104,50.8331,51.2032
10/6/2022,0.7548,0.8094,50.8349,51.1986
10/7/2022,0.7512,0.8099,50.836,51.1936
10/8/2022,0.7617,0.8055,50.848,51.208
10/9/2022,0.7585,0.8117,50.8736,51.2242
10/10/2022,0.767,0.8135,50.9034,51.2344
10/11/2022,0.7715,0.8115,50.9229,51.2309
10/12/2022,0.7697,0.8112,50.8691,51.2368
10/13/2022,0.7546,0.8107,50.8544,51.2393
10/14/2022,0.7511,0.8067,50.8199,51.1924
10/15/2022,0.7521,0.8002,50.8183,51.1998
10/16/2022,0.7536,0.8044,50.8333,51.199
10/17/2022,0.7245,,50.6666,
10/18/2022,0.7153,,50.6305,
10/19/2022,0.7008,,50.5296,
10/20/2022,0.6924,,50.489,
10/21/2022,0.6391,,50.2378,
10/22/2022,0.6144,,50.1523,
10/23/2022,0.6188,,50.1634,
10/24/2022,0.6058,,50.1175,
10/25/2022,0.6159,,50.1451,
10/26/2022,0.6075,,50.0751,
10/27/2022,0.5538,,49.8442,
10/28/2022,0.5321,,49.7418,
10/29/2022,0.5167,,49.6567,
10/30/2022,0.5198,,49.6646,
